2020-11-30 10:34:28.537 [flink-akka.actor.default-dispatcher-3] INFO  o.a.f.r.h.n.e.EmbeddedLeaderService -Received confirmation of leadership for leader akka://flink/user/dispatcher , session=5e86ac2b-8a60-4c49-a0d9-b5de85b940c6
2020-11-30 10:34:28.538 [flink-akka.actor.default-dispatcher-5] INFO  o.a.f.r.r.s.SlotManagerImpl -Starting the SlotManager.
2020-11-30 10:34:28.550 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.h.n.e.EmbeddedLeaderService -Received confirmation of leadership for leader akka://flink/user/resourcemanager , session=433bab8f-55af-4ef5-a405-7bb1e63849bb
2020-11-30 10:34:28.552 [flink-akka.actor.default-dispatcher-3] INFO  o.a.f.r.taskexecutor.TaskExecutor -Connecting to ResourceManager akka://flink/user/resourcemanager(a4057bb1e63849bb433bab8f55af4ef5).
2020-11-30 10:34:28.628 [flink-akka.actor.default-dispatcher-5] INFO  o.a.f.r.taskexecutor.TaskExecutor -Resolved ResourceManager address, beginning registration
2020-11-30 10:34:28.628 [flink-akka.actor.default-dispatcher-5] INFO  o.a.f.r.taskexecutor.TaskExecutor -Registration at ResourceManager attempt 1 (timeout=100ms)
2020-11-30 10:34:28.647 [flink-akka.actor.default-dispatcher-3] INFO  o.a.f.r.r.StandaloneResourceManager -Registering TaskManager with ResourceID d78d282d-534d-437a-aa02-3942543a38cb (akka://flink/user/taskmanager_0) at ResourceManager
2020-11-30 10:34:28.649 [flink-akka.actor.default-dispatcher-3] INFO  o.a.f.r.taskexecutor.TaskExecutor -Successful registration at resource manager akka://flink/user/resourcemanager under registration id edbd11f78c83455eb40c4eca4d18c212.
2020-11-30 10:34:28.674 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.d.StandaloneDispatcher -Received JobGraph submission 0b0ce8d51742b989469c608cad33d3b7 (Flink Streaming Job).
2020-11-30 10:34:28.675 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.d.StandaloneDispatcher -Submitting job 0b0ce8d51742b989469c608cad33d3b7 (Flink Streaming Job).
2020-11-30 10:34:28.931 [flink-akka.actor.default-dispatcher-6] INFO  o.a.f.r.rpc.akka.AkkaRpcService -Starting RPC endpoint for org.apache.flink.runtime.jobmaster.JobMaster at akka://flink/user/jobmanager_1 .
2020-11-30 10:34:28.959 [flink-akka.actor.default-dispatcher-6] INFO  o.a.f.runtime.jobmaster.JobMaster -Initializing job Flink Streaming Job (0b0ce8d51742b989469c608cad33d3b7).
2020-11-30 10:34:29.122 [flink-akka.actor.default-dispatcher-6] INFO  o.a.f.runtime.jobmaster.JobMaster -Using restart strategy NoRestartStrategy for Flink Streaming Job (0b0ce8d51742b989469c608cad33d3b7).
2020-11-30 10:34:29.151 [flink-akka.actor.default-dispatcher-6] INFO  o.a.f.r.e.ExecutionGraph -Job recovers via failover strategy: full graph restart
2020-11-30 10:34:29.184 [flink-akka.actor.default-dispatcher-6] INFO  o.a.f.runtime.jobmaster.JobMaster -Running initialization on master for job Flink Streaming Job (0b0ce8d51742b989469c608cad33d3b7).
2020-11-30 10:34:29.184 [flink-akka.actor.default-dispatcher-6] INFO  o.a.f.runtime.jobmaster.JobMaster -Successfully ran initialization on master in 0 ms.
2020-11-30 10:34:29.250 [flink-akka.actor.default-dispatcher-6] INFO  o.a.f.runtime.jobmaster.JobMaster -No state backend has been configured, using default (Memory / JobManager) MemoryStateBackend (data in heap memory / checkpoints to JobManager) (checkpoints: 'null', savepoints: 'null', asynchronous: TRUE, maxStateSize: 5242880)
2020-11-30 10:34:29.265 [flink-akka.actor.default-dispatcher-6] INFO  o.a.f.r.h.n.e.EmbeddedLeaderService -Proposing leadership to contender org.apache.flink.runtime.jobmaster.JobManagerRunner@785241aa @ akka://flink/user/jobmanager_1
2020-11-30 10:34:29.266 [mini-cluster-io-thread-3] INFO  o.a.f.r.jobmaster.JobManagerRunner -JobManager runner for job Flink Streaming Job (0b0ce8d51742b989469c608cad33d3b7) was granted leadership with session id 7bbf3f07-a2bf-499d-a96b-41f4f9b5f5ad at akka://flink/user/jobmanager_1.
2020-11-30 10:34:29.268 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.runtime.jobmaster.JobMaster -Starting execution of job Flink Streaming Job (0b0ce8d51742b989469c608cad33d3b7) under job master id a96b41f4f9b5f5ad7bbf3f07a2bf499d.
2020-11-30 10:34:29.269 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.e.ExecutionGraph -Job Flink Streaming Job (0b0ce8d51742b989469c608cad33d3b7) switched from state CREATED to RUNNING.
2020-11-30 10:34:29.272 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.e.ExecutionGraph -Source: Custom Source -> Timestamps/Watermarks (1/2) (7f9d3304bb54a58a29b30adfb86ecfe9) switched from CREATED to SCHEDULED.
2020-11-30 10:34:29.335 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.j.slotpool.SlotPoolImpl -Cannot serve slot request, no ResourceManager connected. Adding as pending request [SlotRequestId{940823810dc6a21edebda070e7231b2a}]
2020-11-30 10:34:29.341 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.e.ExecutionGraph -Source: Custom Source -> Timestamps/Watermarks (2/2) (a277195fafe19950014b56035ef1c445) switched from CREATED to SCHEDULED.
2020-11-30 10:34:29.342 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.j.slotpool.SlotPoolImpl -Cannot serve slot request, no ResourceManager connected. Adding as pending request [SlotRequestId{2939285702a24c8d9ba56e7022c6684c}]
2020-11-30 10:34:29.342 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.e.ExecutionGraph -Flat Map (1/2) (9cb527d2e4e7dfd217cae9b2b8bf6262) switched from CREATED to SCHEDULED.
2020-11-30 10:34:29.343 [flink-akka.actor.default-dispatcher-4] INFO  o.a.f.r.e.ExecutionGraph -Flat Map (2/2) (11ce88eeed8921f81317d71a486af84c) switched from CREATED to SCHEDULED.
